Ano Projeto,Codigo,Tipo de Ação,Titulo,Centro de Ensino,Unidade,Data Inicio,Data Fim,Situacao,Status_macro,Fonte Financiamento
2023,EV110-2023,Evento,10 anos da Licenciatura em Dança da UFPB: trajetórias em (re)existência,CCTA - Centro de Comunicação e Artes,CCTA - DEPARTAMENTO DE ARTES CÊNICAS,2023-10-02,2023-12-15,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2022,EV96-2022,Evento,"10 anos do Grupo Interdisciplinar de Pesquisa em Cultura, Sociedade e Ambiente (GIPCSA)",CCEN - Centro de Ciências Exatas,CCEN - DEPARTAMENTO DE SISTEMÁTICA E ECOLOGIA,2022-12-01,2022-12-02,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,EV99-2024,Evento,10º Colóquio de Cinema e Arte da América Latina - Cocaal,CCTA - Centro de Comunicação e Artes,CCTA - DEPARTAMENTO DE JORNALISMO,2024-10-28,2024-11-08,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2020,EV86-2020,Evento,12º Encontro Internacional de Trompetistas - Associação Brasileira de Trompetistas,CCTA - Centro de Comunicação e Artes,CCTA - DEPARTAMENTO DE MÚSICA,2020-11-03,2020-11-08,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,EV67-2025,Evento,14° TALENTO CIENTÍFICO JOVEMENTO CIENTÍFICO JOVEM,CCEN - Centro de Ciências Exatas,CCEN - DEPARTAMENTO DE BIOLOGIA MOLECULAR,2025-07-02,2025-12-31,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2024,EV74-2024,Evento,"16º EADM: Planejamento de Carreira: Novas formas de trabalho, de competências e networking","CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS,2024-10-09,2024-10-10,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,EV87-2025,Evento,17º EADM - INTELIGÊNCIA ARTIFICIAL NA GESTÃO: TRANSFORMANDO DECISÕES E OTIMIZANDO PROCESSOS,"CCHSA - Centro de Ciências Humanas, Sociais e Agrárias",CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS,2025-09-09,2025-09-10,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2022,EV0-2022,Evento,19a Semana Nacional de Ciência e Tecnologia em João Pessoa - PB,CE - Centro de Educação,CE - DEPARTAMENTO DE METODOLOGIA DA EDUCAÇÃO,2022-11-09,2022-11-12,AGUARDANDO APROVAÇÃO DOS DEPARTAMENTOS,Em Trâmite,FINANCIAMENTO INTERNO
2024,CR142-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS  - ALAGOAS TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE ",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-07-11,2024-07-12,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR143-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS  - BACABAL - MARANHÃO Período: 13 e 14 de junho de 2024 TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE ",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-06-13,2024-06-14,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR144-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS  - BAHIA - MULUNGU DO MORRO Período: 10 e 11 de junho de 2024 TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE ",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-06-10,2024-06-11,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR192-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS - BAHIA - PLANALTO  TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-07-11,2024-07-12,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR145-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS  - CAXIAS - MARANHÃO Período: 13 e 14 de junho de 2024 TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE ",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-06-13,2024-06-14,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR209-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS - CRATEÚS - TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-08-08,2024-08-09,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR193-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS - JAPARATINGA/ALAGOAS  TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-07-11,2024-07-12,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR210-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS - OEIRAS -  TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-08-08,2024-08-09,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR147-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS  - PARAÍBA TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE  ",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-06-10,2024-06-11,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR148-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS  - PIAUI TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE ",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-06-13,2024-06-14,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR149-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS  - PLANALTO - BA TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE  ",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-07-11,2024-07-12,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR150-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS  - RIO GRANDE DO NORTE Período: 20 e 21 de junho de 2024 TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE ",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-06-20,2024-06-21,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR194-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS - SERGIPE/ AQUIDABÃ  TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-07-11,2024-07-12,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR151-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS  - SERGIPE TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE  ",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-06-13,2024-06-14,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR152-2024,Curso,"1ª CAPACITAÇÃO TÉCNICA PRESENCIAL PARA GESTORES DE ESCOLAS EM TERRITÓRIOS DIFERENCIADOS  - SOBRADINHO-BA TEMA: O FORTALECIMENTO DO PDDE E DAS AÇÕES INTEGRADAS NAS ESCOLAS EM TERRITÓRIOS INDÍGENAS, CAMPO E QUILOMBOLAS NA REGIÃO NORDESTE ",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-06-13,2024-06-14,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,CR0-2025,Curso,1ª Escola Brasileira sobre Envolvimento de Pacientes e Público em Pesquisas,CCS - Centro de Ciências da Saúde,CCS - DEPARTAMENTO DE FISIOTERAPIA,2025-10-27,2025-10-31,REPROVADA,Cancelado/Reprovado,FINANCIAMENTO INTERNO
2023,EV28-2023,Evento,"1ª RODA DE CONVERSA ""A CONSTRUÇÃO DO EDUCADOR/A CONTADOR/A DE HISTÓRIAS""",CE - Centro de Educação,CE - DEPARTAMENTO DE EDUCAÇÃO DO CAMPO,2023-05-03,2023-05-03,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,EV53-2024,Evento,1ª Semana de Hotelaria Paraibana,CCTA - Centro de Comunicação e Artes,CCTA - DEPARTAMENTO DE TURISMO E HOTELARIA,2024-07-22,2024-07-26,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,EV97-2025,Evento,"1 ENCONTRO DE INTEGRAÇÃO DO CURSO DE ADMINISTRAÇÃO PÚBLICA - EaD/UFPB O Administrador Público do Século XXI: Desafios, Ética e Inovação Tecnológica no Serviço Público ",CCSA - Centro de Ciências Sociais Aplicadas,CCSA - DEPARTAMENTO DE GESTÃO PÚBLICA,2025-09-02,2025-09-03,APROVADO SEM RECURSOS,Ativo,FINANCIAMENTO INTERNO
2021,EV23-2021,Evento,1° Encontro Geral de Projetos Ambientais da UFPB (EGEPAM),CT - Centro de Tecnologia,CT - DEPARTAMENTO DE ENGENHARIA CIVIL E AMBIENTAL,2021-06-08,2021-06-08,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,EV83-2024,Evento,1º Colóquio Interinstitucional de Direito - Questões contemporâneas de Responsabilidade Civil: Teoria e Prática,CCJ - Centro de Ciências Jurídicas,CCJ - DEPARTAMENTO DE DIREITO PRIVADO,2024-09-24,2024-09-24,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2024,CR153-2024,Curso,1º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: ARAME/MA ,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2024-06-10,2024-06-11,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR154-2024,Curso,1º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: BARRA DO CORDA/MA ,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2024-06-13,2024-06-14,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR275-2024,Curso,1º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: IBOTIRAMA/BA,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2024-11-13,2024-11-14,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2024,CR155-2024,Curso,1º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: ITABUNA/BA ,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2024-06-13,2024-06-14,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR195-2024,Curso,1º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: MAMANGUAPE/PB ,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2024-07-29,2024-07-30,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR156-2024,Curso,1º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: NATAL/RN ,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2024-06-13,2024-06-14,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR157-2024,Curso,1º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: PAULO AFONSO/BA,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2024-06-10,2024-06-11,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR276-2024,Curso,1º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: PESQUEIRA/PE,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2024-12-04,2024-12-06,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2024,CR245-2024,Curso,1º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: SANTA CRUZ CABRALIA/BA,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2024-10-10,2024-10-11,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2024,CR277-2024,Curso,1º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: SANTA INÊS/MA,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2024-12-19,2024-12-20,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2024,CR170-2024,Curso,1º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: SÃO SEBASTIÃO/AL ,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2024-07-11,2024-07-12,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR158-2024,Curso,1º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL - PALMARES-PE TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES,CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-06-13,2024-06-14,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,CR164-2024,Curso,1º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS -POSSIBILIDADES - JOÃO CÂMARA - RN,CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2024-06-20,2024-06-21,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2021,EV36-2021,Evento,1º Seminário Norte/Nordeste de Medicina Alternativa e Curas pela Natureza com reflexo no Sistema Único de Saúde.  ,PRÓ-REITORIA DE EXTENSÃO  (PROEX),PRÓ-REITORIA DE EXTENSÃO  (PROEX),2021-07-28,2021-07-30,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,EV77-2025,Evento,1º WorkCand: M&A  Desafios e Oportunidades do Direito Empresarial,CCJ - Centro de Ciências Jurídicas,CCJ - DEPARTAMENTO DE DIREITO PRIVADO,2025-08-19,2025-08-19,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2022,PJ53-2022,Projeto,200+32: duzentos anos de independência do Brasil e trinta e dois anos de Estação Ciência da Paraíba,CE - Centro de Educação,CE - DEPARTAMENTO DE METODOLOGIA DA EDUCAÇÃO,2022-04-01,2022-12-30,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2020,PJ704-2020,Projeto,2020: Atividades da Assessoria de Extensão do Centro de Tecnologia,CT - Centro de Tecnologia,CT - DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO,2020-02-20,2020-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2023,PJ625-2023,Projeto,2023/2024  Criativa: Terapia Ocupacional em Saúde Mental  para Estudantes Universitários ,CCS - Centro de Ciências da Saúde,CCS - DEPARTAMENTO DE TERAPIA OCUPACIONAL,2023-08-01,2024-07-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,PJ1169-2024,Projeto,2024/2025  Criativa: Terapia Ocupacional em Saúde Mental  para Estudantes Universitários ,CCS - Centro de Ciências da Saúde,CCS - DEPARTAMENTO DE TERAPIA OCUPACIONAL,2024-08-01,2025-10-06,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2022,CR132-2022,Curso,2ª CAPACITAÇÃO TÉCNICA- PPDE E AÇÕES INTEGRADAS NA REGIÃO NORDESTE-SE    ,CE - Centro de Educação,CE - DEPARTAMENTO DE HABILITAÇÃO PEDAGÓGICA,2022-09-26,2022-09-27,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2022,CR133-2022,Curso,2ª CAPACITAÇÕES TÉCNICAS PRESENCIAIS: PDDE E AÇÕES INTEGRADAS NA REGIÃO NORDESTE ,CE - Centro de Educação,CE - DEPARTAMENTO DE HABILITAÇÃO PEDAGÓGICA,2022-09-14,2022-09-30,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2023,EV25-2023,Evento,2ª Oficina de Creditação Curricular da Extensão da PROEX/UFPB,PROEX - COORDENAÇÃO DE EXTENSÃO CULTURAL (COEX),PROEX - COORDENAÇÃO DE EXTENSÃO CULTURAL (COEX),2023-04-25,2023-06-20,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,CR129-2025,Curso,2º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: BAHIA E CEARÁ. ,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2025-05-22,2025-05-31,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2024,CR278-2024,Curso,2º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: GRAJAÚ/MA,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2024-12-04,2024-12-05,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2024,CR279-2024,Curso,2º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: JOÃO CÂMARA/RN,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2024-11-25,2024-11-26,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2023,EV84-2023,Evento,"3ª MOSTRA CE - ""Múltiplos letramentos, protagonismos e perspectivas na educação""",CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2023-09-25,2023-09-27,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2022,EV15-2022,Evento,45º Congresso Brasileiro de Ciências da Comunicação - Intercom 2022,CCTA - Centro de Comunicação e Artes,CCTA - DEPARTAMENTO DE COMUNICAÇÃO,2022-04-11,2022-11-30,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2020,EV66-2020,Evento,4a RODA DE DIÁLOGOS: A PÓS-GRADUAÇÃO EM CIÊNCIAS JURÍDICAS E A SOCIEDADE CIVIL,CCJ - Centro de Ciências Jurídicas,CCJ - DEPARTAMENTO DE CIÊNCIAS JURÍDICAS,2020-08-25,2020-09-29,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,CR209-2025,Curso,4º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: JOAQUIM GOMES - ALAGOAS,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2025-08-06,2025-08-06,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2025,EV88-2025,Evento,4º ENCONTRO DE CAPACITAÇÃO TÉCNICA PRESENCIAL ESCOLAS INDÍGENAS TEMA: O PDDE E AS AÇÕES INTEGRADAS NA REGIÃO NORDESTE: NOVOS CENÁRIOS E NOVAS POSSIBILIDADES POLO: MONTES ALTOS - MARANHÃO,CCAE - Centro de Ciências Aplicadas e Educação,CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2025-08-13,2025-08-14,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2025,EV120-2025,Evento,5ª MOSTRA CE: Rumo aos 50+ - Que inovação nos interessa?,CE - Centro de Educação,CE - DEPARTAMENTO DE HABILITAÇÃO PEDAGÓGICA,2025-10-07,2025-11-12,PENDENTE DE RELATÓRIO,Concluído,FINANCIAMENTO INTERNO
2024,EV24-2024,Evento,60 anos do golpe de 64 - (re)lembrar para não esquecer: ditadura nunca mais,CCTA - Centro de Comunicação e Artes,CCTA - DEPARTAMENTO DE JORNALISMO,2024-03-26,2024-03-27,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2023,EV93-2023,Evento,6º Veredas do Patrimônio: Patrimônios imateriais e resistências culturais ,CCHLA - Centro de Ciências Humanas e Letras,CCHLA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS,2023-09-14,2023-10-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2020,EV110-2020,Evento,7ª SEMANA NACIONAL DE EDUCAÇÃO FINANCEIRA,CCSA - Centro de Ciências Sociais Aplicadas,CCSA - DEPARTAMENTO DE FINANÇAS E CONTABILIDADE,2020-11-23,2020-11-29,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
