Ano Projeto,Codigo,Tipo de Ação,Titulo,Centro de Ensino,Unidade,Data Inicio,Data Fim,Situacao,Status_macro,Fonte Financiamento
2023,PJ1132-2023,Projeto,"MOBILANG UFPB: mobilidade, cidadania e plurilinguismo",CCHLA - Centro de Ciências Humanas e Letras,CCHLA - DEPARTAMENTO DE MEDIAÇÕES INTERCULTURAIS,2023-10-16,2024-06-30,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,PJ970-2024,Projeto,"MOBILANG UFPB: mobilidade, cidadania e plurilinguismo",CCHLA - Centro de Ciências Humanas e Letras,CCHLA - DEPARTAMENTO DE MEDIAÇÕES INTERCULTURAIS,2024-08-01,2025-10-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2020,PJ65-2020,Projeto,Mobilidade urbana segura: a educação começa nas escolas (ANO 3),CT - Centro de Tecnologia,CT - DEPARTAMENTO DE ENGENHARIA CIVIL E AMBIENTAL,2020-04-01,2020-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2020,PJ768-2020,Projeto,"Mobilização comunitária no Campo: Agroecologia como estratégia para fortalecer a Conservação e uso da Biodiversidade, no Município do Conde, Paraíba",CCEN - Centro de Ciências Exatas,CCEN - DEPARTAMENTO DE SISTEMÁTICA E ECOLOGIA,2020-06-01,2020-12-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2021,PJ463-2021,Projeto,Mobilização e Educação Popular: Ciências da Natureza e Sustentabilidade na Zona da Mata Paraibana,CCEN - Centro de Ciências Exatas,CCEN - DEPARTAMENTO DE SISTEMÁTICA E ECOLOGIA,2021-05-03,2022-04-30,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,PJ1508-2025,Projeto,Mobilização juvenil para eventos científico-acadêmicos e ações educativas em diplomacia e transições energéticas: Enetrix Events,CE - Centro de Educação,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO,2025-11-01,2026-10-31,EM EXECUÇÃO,Ativo,FINANCIAMENTO INTERNO
2022,PJ544-2022,Projeto,"MOBILIZAÇÃO, SAÚDE E SEGURANÇA DE TRABALHADORES QUE USAM MOTOCICLETA NA REGIÃO METROPOLITANA DE JOÃO PESSOA",CCS - Centro de Ciências da Saúde,CCS - DEPARTAMENTO DE FISIOTERAPIA,2022-08-08,2023-07-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2025,PJ0-2025,Projeto,"Monitoração Física e Fisiológica de Atletas de esportes olímpicos e paralímpicos, de alto rendimento e em formação, do Instituto dos Cegos da Paraíba Adalgisa Cunha",CCS - Centro de Ciências da Saúde,CCS - DEPARTAMENTO DE EDUCAÇÃO FÍSICA,2025-11-01,2026-10-31,REPROVADA,Cancelado/Reprovado,FINANCIAMENTO INTERNO
2023,PJ514-2023,Projeto,MONITORAÇÃO FÍSICA E FISIOLOGICA DE ATLETAS PARALÍMPICOS EM FORMAÇÃO E DE ALTO DESEMPENHO DO CENTRO DE REFERÊNCIA PARALÍMPICO DA CIDADE DE JOÃO PESSOA-PB,CCS - Centro de Ciências da Saúde,CCS - DEPARTAMENTO DE EDUCAÇÃO FÍSICA,2023-08-01,2024-07-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
2024,PJ1025-2024,Projeto,MONITORAÇÃO FÍSICA E FISIOLOGICA DE ATLETAS PARALÍMPICOS EM FORMAÇÃO E DE ALTO DESEMPENHO DO CENTRO DE REFERÊNCIA PARALÍMPICO DA CIDADE DEJOÃO PESSOA-PB,CCS - Centro de Ciências da Saúde,CCS - DEPARTAMENTO DE EDUCAÇÃO FÍSICA,2024-08-01,2025-10-31,CONCLUÍDA,Concluído,FINANCIAMENTO INTERNO
